elapsed_seconds,component,pid,cpu_seconds,cpu_pct_one_core,rss_kib,pss_kib
1.0001812419999965,k3s,2418,0.04,3.9992751633708545,541884,480552
1.0001812419999965,containerd,2443,0.0,0.0,188044,126988
1.0001812419999965,coredns,3050,0.01,0.9998187908427136,63536,63752
2.006122241,k3s,2418,0.07,2.9822822640515416,541884,480552
2.006122241,containerd,2443,0.0,0.0,180684,119592
2.006122241,coredns,3050,0.01,0.0,63536,63752
3.0118795240000082,k3s,2418,0.1,2.982827020701748,541884,480552
3.0118795240000082,containerd,2443,0.01,0.9942756735672494,180684,119596
3.0118795240000082,coredns,3050,0.01,0.0,63536,63756
4.017579475000005,k3s,2418,0.12,1.9886647086055254,541884,480552
4.017579475000005,containerd,2443,0.02,0.9943323543027627,180684,119596
4.017579475000005,coredns,3050,0.01,0.0,63536,63756
5.023378680999997,k3s,2418,0.15,2.9827026926486004,541884,480552
5.023378680999997,containerd,2443,0.02,0.0,180684,119596
5.023378680999997,coredns,3050,0.01,0.0,63536,63756
6.0291573000000085,k3s,2418,0.19,3.9770183263360406,541884,480552
6.0291573000000085,containerd,2443,0.03,0.9942545815840101,180684,119600
6.0291573000000085,coredns,3050,0.01,0.0,63536,63760
7.035175568,k3s,2418,0.21,1.9880354697495588,541884,480552
7.035175568,containerd,2443,0.03,0.0,180684,119600
7.035175568,coredns,3050,0.01,0.0,63536,63760
8.040937540000002,k3s,2418,0.25,3.977084152471806,541884,480560
8.040937540000002,containerd,2443,0.03,0.0,180684,119600
8.040937540000002,coredns,3050,0.01,0.0,63536,63760
9.046958064999998,k3s,2418,0.27,1.988031009605899,542012,480572
9.046958064999998,containerd,2443,0.05,1.988031009605899,180684,119600
9.046958064999998,coredns,3050,0.01,0.0,63536,63760
10.052892006999997,k3s,2418,0.32,4.970505309781074,542012,480572
10.052892006999997,containerd,2443,0.06,0.9941010619562147,180684,119600
10.052892006999997,coredns,3050,0.01,0.0,63536,63764
11.058626739000005,k3s,2418,0.36,3.977191870510016,542012,480580
11.058626739000005,containerd,2443,0.06,0.0,180684,119600
11.058626739000005,coredns,3050,0.01,0.0,63536,63768
12.064533863999998,k3s,2418,0.39,2.9823826926367785,542012,480580
