second,rss_kb,cpu_pct
1,79084,0.00
2,79092,3.00
3,79192,6.00
4,81308,8.00
5,81372,5.00
6,81476,3.00
7,81540,11.00
8,81580,8.00
9,81600,5.00
10,81600,0.00
