second,rss_kb,cpu_pct
1,15288,0.00
2,15288,0.00
3,15440,6.00
4,15444,4.00
5,15444,3.00
6,15444,2.00
7,15444,3.00
8,15452,2.00
9,15460,2.00
10,15468,2.00
11,15468,1.00
12,15468,0.00
