second,rss_kb,cpu_pct
1,98480,6.00
2,95264,5.00
3,95680,6.00
4,96168,7.00
5,97000,7.00
6,97368,6.00
7,97752,6.00
8,98268,5.00
9,98672,6.00
10,99148,6.00
11,99680,6.00
12,100020,5.00
13,100528,6.00
14,100816,7.00
15,101284,5.00
16,101688,6.00
17,102164,5.00
18,102628,7.00
19,102984,6.00
20,103444,5.00
21,103852,8.00
22,104296,4.00
23,104696,7.00
24,105168,5.00
25,105604,7.00
26,106140,6.00
27,106528,6.00
28,107016,5.00
29,107736,17.00
30,107244,7.00
31,107244,6.00
32,107260,5.00
33,107268,7.00
34,107284,5.00
35,107292,6.00
36,107292,5.00
37,107328,6.00
38,107336,6.00
39,107340,5.00
40,107340,6.00
41,107376,5.00
42,107380,6.00
43,107352,6.00
44,107364,6.00
45,107372,5.00
46,107372,5.00
47,107372,5.00
48,107372,6.00
49,107428,6.00
50,107428,6.00
51,107428,4.00
52,107428,5.00
53,107444,8.00
54,107448,5.00
55,107452,6.00
56,107452,6.00
57,107452,5.00
58,107456,5.00
59,107456,6.00
60,107456,6.00
61,107456,6.00
62,107456,5.00
63,107456,6.00
64,107456,5.00
65,107456,5.00
66,107460,6.00
67,107460,5.00
68,107460,6.00
69,107464,7.00
70,107472,5.00
71,107472,5.00
72,107504,5.00
73,107532,6.00
74,107532,6.00
75,107604,11.00
76,107608,6.00
77,107632,8.00
78,107636,8.00
79,107636,7.00
80,107636,6.00
81,107648,6.00
82,107668,5.00
83,107672,5.00
84,107672,6.00
85,107672,6.00
86,107672,5.00
87,107672,6.00
88,107672,6.00
89,107672,5.00
90,107676,5.00
91,107684,5.00
92,107728,6.00
93,107732,6.00
94,107732,6.00
95,107732,6.00
96,107736,5.00
97,107740,5.00
98,107744,6.00
99,107744,6.00
100,107744,5.00
101,107756,6.00
102,107756,5.00
103,107756,5.00
104,107760,6.00
105,107776,5.00
106,107776,7.00
107,107784,5.00
108,107784,6.00
109,107800,6.00
110,107804,10.00
111,107816,5.00
112,107880,11.00
113,107880,7.00
114,107880,5.00
115,107880,6.00
116,107884,7.00
117,107884,7.00
118,107888,5.00
119,107892,6.00
120,107892,6.00
