second,rss_kb,cpu_pct
1,22720.0,3.0
2,22716.0,5.0
3,22724.0,2.0
4,22728.0,5.0
5,22728.0,2.0
6,22780.0,5.0
7,22780.0,2.0
8,22788.0,3.0
9,22788.0,3.0
10,22788.0,3.0
11,22788.0,3.0
12,22788.0,1.0
13,22792.0,1.0
14,22796.0,7.0
15,22796.0,3.0
16,22804.0,5.0
17,22804.0,1.0
18,22800.0,2.0
19,22800.0,4.0
20,22804.0,2.0
21,22808.0,2.0
22,22808.0,1.0
23,22808.0,5.0
24,22820.0,5.0
25,22820.0,2.0
26,22820.0,2.0
27,22812.0,5.0
28,22812.0,2.0
29,22812.0,1.0
30,22824.0,0.0
31,22824.0,5.0
32,22968.0,5.0
33,22864.0,1.0
34,22868.0,3.0
35,22868.0,2.0
36,22872.0,2.0
37,22872.0,1.0
38,22872.0,0.0
39,22880.0,6.0
40,22884.0,6.0
41,22884.0,1.0
42,22884.0,2.0
43,22888.0,3.0
44,22888.0,2.0
45,22888.0,4.0
46,22888.0,2.0
47,22892.0,5.0
48,22892.0,3.0
49,22896.0,3.0
50,22900.0,3.0
51,22904.0,2.0
52,22904.0,3.0
53,22904.0,2.0
54,22908.0,3.0
55,22908.0,3.0
56,22908.0,2.0
57,22912.0,5.0
58,22912.0,0.0
59,22912.0,3.0
60,22912.0,1.0
61,22916.0,3.0
62,22916.0,2.0
63,22924.0,2.0
64,22924.0,3.0
65,23024.0,3.0
66,22928.0,3.0
67,22928.0,0.0
68,22932.0,2.0
69,22932.0,1.0
70,22932.0,1.0
71,22932.0,0.0
72,22928.0,5.0
73,22928.0,3.0
74,22936.0,4.0
75,22936.0,0.0
76,22936.0,4.0
77,22936.0,3.0
78,22936.0,1.0
79,22936.0,3.0
80,22936.0,4.0
81,22976.0,6.0
82,22984.0,5.0
83,22984.0,0.0
84,22984.0,6.0
85,22984.0,4.0
86,22984.0,0.0
87,22984.0,1.0
88,22992.0,3.0
89,22996.0,6.0
90,23004.0,2.0
91,23004.0,2.0
92,23004.0,2.0
93,23004.0,2.0
94,23004.0,1.0
95,23000.0,3.0
96,23008.0,4.0
97,23008.0,3.0
98,23024.0,2.0
99,23032.0,3.0
100,23032.0,5.0
101,23032.0,1.0
102,23036.0,2.0
103,23040.0,0.0
104,23044.0,3.0
105,23044.0,2.0
106,23044.0,1.0
107,23048.0,3.0
108,23052.0,4.0
109,23048.0,2.0
110,23048.0,2.0
111,23048.0,1.0
112,23056.0,2.0
113,23056.0,6.0
114,23060.0,2.0
115,23060.0,5.0
116,23060.0,1.0
117,23060.0,4.0
118,23064.0,2.0
119,23064.0,0.0
120,23068.0,4.0
