phase,stack,component,metric,unit,min,mean,max
idle,k8s,nodecontroller,pss_kib,MiB,121.21875,121.27504595588235,121.3125
idle,notk8s,nodelet,pss_kib,MiB,9.6650390625,9.915616861979167,10.01953125
idle,k8s,nodelet,pss_kib,MiB,86.865234375,91.21545102415966,93.400390625
idle,notk8s,nodeproxy,pss_kib,MiB,4.41015625,4.418741861979167,4.4208984375
idle,k8s,nodeproxy,pss_kib,MiB,50.4375,50.63195903361345,50.734375
idle,notk8s,nodescheduler,pss_kib,MiB,9.23046875,9.317220052083334,9.34375
idle,k8s,nodescheduler,pss_kib,MiB,61.66796875,61.724724264705884,61.75390625
idle,notk8s,nodestore,pss_kib,MiB,10.7724609375,10.7923828125,10.8115234375
idle,k8s,nodestore,pss_kib,MiB,57.2109375,57.40989364495798,57.578125
idle,notk8s,combined,pss_kib,MiB,449.341796875,457.65220540364584,460.7705078125
idle,k8s,combined,pss_kib,MiB,923.0263671875,955.8413291097689,982.5498046875
idle,k3s,combined,pss_kib,MiB,628.60546875,640.8982747395834,652.86328125
load,notk8s,containerd,cpu_pct_one_core,% of one CPU,0.0,0.4795594855133098,3.945983833736506
load,k8s,containerd,cpu_pct_one_core,% of one CPU,0.0,1.1551538642199013,5.9419821181947885
load,k3s,containerd,cpu_pct_one_core,% of one CPU,0.0,0.6218031183034223,4.975983178342623
load,notk8s,coredns,cpu_pct_one_core,% of one CPU,0.0,0.38884384987048526,1.9863576775929286
load,k8s,coredns,cpu_pct_one_core,% of one CPU,0.0,0.5650987231550828,1.9810624946697932
load,k3s,coredns,cpu_pct_one_core,% of one CPU,0.0,0.3315621778885801,1.9903143580915907
load,notk8s,flanneld,cpu_pct_one_core,% of one CPU,0.0,0.10758905911778835,1.9871853056833482
load,k8s,flanneld,cpu_pct_one_core,% of one CPU,0.0,0.13293133851681285,1.9785363196279988
load,k3s,k3s,cpu_pct_one_core,% of one CPU,1.9843867537397872,6.532854281599142,18.853590444919
load,notk8s,nodeapiserver,cpu_pct_one_core,% of one CPU,0.0,4.062763189421814,11.918283279908882
load,k8s,nodeapiserver,cpu_pct_one_core,% of one CPU,1.9785299799440137,7.108188722897977,23.754311484242574
load,notk8s,nodecontroller,cpu_pct_one_core,% of one CPU,0.0,0.21511782909304852,0.9935408360325689
load,k8s,nodecontroller,cpu_pct_one_core,% of one CPU,0.0,1.29661227638063,4.907102109141571
load,notk8s,nodelet,cpu_pct_one_core,% of one CPU,0.0,0.14891496774772237,1.972991916868253
load,k8s,nodelet,cpu_pct_one_core,% of one CPU,0.0,2.235588370418972,7.851363374626514
load,notk8s,nodeproxy,cpu_pct_one_core,% of one CPU,0.0,0.0,0.0
load,k8s,nodeproxy,cpu_pct_one_core,% of one CPU,0.0,0.041526716963351536,0.9904060259630113
load,notk8s,nodescheduler,cpu_pct_one_core,% of one CPU,0.0,0.033071173951990586,0.9931956286663578
load,k8s,nodescheduler,cpu_pct_one_core,% of one CPU,0.0,0.6152054213045747,1.9807624272692663
load,notk8s,nodestore,cpu_pct_one_core,% of one CPU,0.0,2.1430425654346523,5.959141639954441
load,k8s,nodestore,cpu_pct_one_core,% of one CPU,0.0,2.926277842776168,5.939650501817492
load,notk8s,combined,cpu_pct_one_core,% of one CPU,0.9933788093741728,7.578902120150811,21.850186013166287
load,k8s,combined,cpu_pct_one_core,% of one CPU,5.9425588282149615,16.076583276633468,38.60075616189418
load,k3s,combined,cpu_pct_one_core,% of one CPU,1.9905321334339239,7.486219577791144,19.90393271337049
load,notk8s,containerd,rss_kib,MiB,62.265625,63.750651041666664,64.8828125
load,k8s,containerd,rss_kib,MiB,89.03515625,89.16744353991596,89.296875
load,k3s,containerd,rss_kib,MiB,170.27734375,172.27005208333333,175.78125
load,notk8s,coredns,rss_kib,MiB,64.72265625,64.81328125,64.84765625
load,k8s,coredns,rss_kib,MiB,128.20703125,128.39505646008402,128.45703125
load,k3s,coredns,rss_kib,MiB,64.59375,64.790625,64.98046875
load,notk8s,flanneld,rss_kib,MiB,41.20703125,41.31223958333333,41.33203125
load,k8s,flanneld,rss_kib,MiB,47.546875,47.5655856092437,47.6953125
load,k3s,k3s,rss_kib,MiB,512.875,513.7455078125,514.36328125
load,notk8s,nodeapiserver,rss_kib,MiB,237.80859375,238.00234375,238.55859375
load,k8s,nodeapiserver,rss_kib,MiB,353.13671875,361.0081079306723,380.03515625
load,notk8s,nodecontroller,rss_kib,MiB,45.27734375,45.99401041666667,46.15234375
load,k8s,nodecontroller,rss_kib,MiB,120.80859375,121.6570706407563,123.1953125
