elapsed_seconds,component,pid,cpu_seconds,cpu_pct_one_core,rss_kib,pss_kib
1.0006179399999837,nodestore,10054,0.09,8.994441974526408,21264,11301
1.0006179399999837,nodeapiserver,10369,0.16,15.990119065824725,229956,218087
1.0006179399999837,nodescheduler,11615,0.0,0.0,22872,10652
1.0006179399999837,nodecontroller,11294,0.0,0.0,44388,31314
1.0006179399999837,nodelet,10742,0.04,3.9975297664561813,24020,10587
1.0006179399999837,nodeproxy,11844,0.0,0.0,15904,5006
2.0044509570000173,nodestore,10054,0.12,2.988544856758681,21264,11301
2.0044509570000173,nodeapiserver,10369,0.18,1.9923632378391207,229956,218103
2.0044509570000173,nodescheduler,11615,0.0,0.0,23128,10716
2.0044509570000173,nodecontroller,11294,0.01,0.9961816189195604,44516,31414
2.0044509570000173,nodelet,10742,0.04,0.0,24020,10587
2.0044509570000173,nodeproxy,11844,0.01,0.9961816189195604,15904,5006
3.008298775000071,nodestore,10054,0.12,0.0,21264,11301
3.008298775000071,nodeapiserver,10369,0.2,1.9923338619040487,229956,218103
3.008298775000071,nodescheduler,11615,0.0,0.0,23128,10716
3.008298775000071,nodecontroller,11294,0.01,0.0,44516,31418
3.008298775000071,nodelet,10742,0.04,0.0,24404,10903
3.008298775000071,nodeproxy,11844,0.01,0.0,15904,5006
4.012206251000066,nodestore,10054,0.13,0.9961077329401271,21264,11315
4.012206251000066,nodeapiserver,10369,0.21,0.9961077329401271,229956,218105
4.012206251000066,nodescheduler,11615,0.01,0.9961077329401271,23128,10718
4.012206251000066,nodecontroller,11294,0.01,0.0,44516,31432
4.012206251000066,nodelet,10742,0.04,0.0,24404,10904
4.012206251000066,nodeproxy,11844,0.01,0.0,15904,5008
5.016218297000023,nodestore,10054,0.13,0.0,21264,11315
5.016218297000023,nodeapiserver,10369,0.21,0.0,229956,218105
5.016218297000023,nodescheduler,11615,0.01,0.0,23128,10718
5.016218297000023,nodecontroller,11294,0.01,0.0,44516,31432
5.016218297000023,nodelet,10742,0.04,0.0,24404,10904
5.016218297000023,nodeproxy,11844,0.01,0.0,15904,5008
6.021170869999992,nodestore,10054,0.14,0.9950718341014001,21264,11315
6.021170869999992,nodeapiserver,10369,0.22,0.9950718341014001,229956,218105
6.021170869999992,nodescheduler,11615,0.01,0.0,23128,10718
6.021170869999992,nodecontroller,11294,0.01,0.0,44516,31436
6.021170869999992,nodelet,10742,0.04,0.0,24404,10904
6.021170869999992,nodeproxy,11844,0.01,0.0,15904,5008
7.024968274000003,nodestore,10054,0.14,0.0,21264,11315
7.024968274000003,nodeapiserver,10369,0.22,0.0,229956,218105
7.024968274000003,nodescheduler,11615,0.01,0.0,23128,10718
7.024968274000003,nodecontroller,11294,0.01,0.0,44516,31436
7.024968274000003,nodelet,10742,0.04,0.0,24404,10904
7.024968274000003,nodeproxy,11844,0.01,0.0,15904,5008
8.028780192,nodestore,10054,0.14,0.0,21264,11311
8.028780192,nodeapiserver,10369,0.23,0.9962025575392733,229956,218105
8.028780192,nodescheduler,11615,0.01,0.0,23128,10718
8.028780192,nodecontroller,11294,0.02,0.9962025575392733,44516,31440
8.028780192,nodelet,10742,0.04,0.0,24404,10904
8.028780192,nodeproxy,11844,0.01,0.0,15904,5008
9.032613139999967,nodestore,10054,0.14,0.0,21264,11311
9.032613139999967,nodeapiserver,10369,0.23,0.0,229956,218105
9.032613139999967,nodescheduler,11615,0.01,0.0,23128,10718
9.032613139999967,nodecontroller,11294,0.02,0.0,44516,31440
9.032613139999967,nodelet,10742,0.04,0.0,24404,10904
9.032613139999967,nodeproxy,11844,0.01,0.0,15904,5008
10.036513038000066,nodestore,10054,0.15,0.9961152521203869,21264,11311
10.036513038000066,nodeapiserver,10369,0.25,1.9922305042407737,229956,218105
10.036513038000066,nodescheduler,11615,0.01,0.0,23128,10722
10.036513038000066,nodecontroller,11294,0.02,0.0,44516,31448
10.036513038000066,nodelet,10742,0.04,0.0,24404,10904
10.036513038000066,nodeproxy,11844,0.01,0.0,15904,5008
11.040358016000027,nodestore,10054,0.15,0.0,21264,11311
11.040358016000027,nodeapiserver,10369,0.25,0.0,229956,218105
11.040358016000027,nodescheduler,11615,0.01,0.0,23128,10722
11.040358016000027,nodecontroller,11294,0.02,0.0,44516,31448
11.040358016000027,nodelet,10742,0.04,0.0,24404,10904
11.040358016000027,nodeproxy,11844,0.01,0.0,15904,5008
12.04419142300003,nodestore,10054,0.16,0.9961812318923932,21264,11315
12.04419142300003,nodeapiserver,10369,0.26,0.9961812318923932,229956,218105
12.04419142300003,nodescheduler,11615,0.01,0.0,23128,10722
12.04419142300003,nodecontroller,11294,0.02,0.0,44516,31448
12.04419142300003,nodelet,10742,0.04,0.0,24404,10904
12.04419142300003,nodeproxy,11844,0.01,0.0,15904,5008
13.048070695999968,nodestore,10054,0.18,1.99227143521283,21264,11315
13.048070695999968,nodeapiserver,10369,0.28,1.99227143521283,229956,218109
13.048070695999968,nodescheduler,11615,0.01,0.0,23128,10726
13.048070695999968,nodecontroller,11294,0.02,0.0,44644,31452
13.048070695999968,nodelet,10742,0.05,0.996135717606415,24532,11112
13.048070695999968,nodeproxy,11844,0.01,0.0,15904,5008
14.051905271999999,nodestore,10054,0.18,0.0,21264,11315
14.051905271999999,nodeapiserver,10369,0.29,0.9961800718049475,233540,221693
14.051905271999999,nodescheduler,11615,0.01,0.0,23128,10726
14.051905271999999,nodecontroller,11294,0.02,0.0,44644,31456
14.051905271999999,nodelet,10742,0.05,0.0,24532,11112
14.051905271999999,nodeproxy,11844,0.01,0.0,15904,5008
15.055691155999966,nodestore,10054,0.18,0.0,21264,11315
15.055691155999966,nodeapiserver,10369,0.29,0.0,233540,221693
15.055691155999966,nodescheduler,11615,0.01,0.0,23128,10726
15.055691155999966,nodecontroller,11294,0.02,0.0,44644,31456
15.055691155999966,nodelet,10742,0.05,0.0,24532,11112
15.055691155999966,nodeproxy,11844,0.01,0.0,15904,5008
16.059547773000077,nodestore,10054,0.19,0.9961581993535736,21264,11315
16.059547773000077,nodeapiserver,10369,0.31,1.9923163987071473,233540,221693
16.059547773000077,nodescheduler,11615,0.02,0.9961581993535736,23128,10726
16.059547773000077,nodecontroller,11294,0.02,0.0,44644,31460
16.059547773000077,nodelet,10742,0.05,0.0,24532,11112
16.059547773000077,nodeproxy,11844,0.01,0.0,15904,5008
17.063281792999987,nodestore,10054,0.19,0.0,21264,11315
17.063281792999987,nodeapiserver,10369,0.31,0.0,233540,221693
17.063281792999987,nodescheduler,11615,0.02,0.0,23128,10726
17.063281792999987,nodecontroller,11294,0.02,0.0,44644,31460
17.063281792999987,nodelet,10742,0.05,0.0,24532,11112
17.063281792999987,nodeproxy,11844,0.01,0.0,15904,5008
18.067014721000078,nodestore,10054,0.2,0.9962809549273948,21264,11315
18.067014721000078,nodeapiserver,10369,0.32,0.9962809549273948,233540,221693
18.067014721000078,nodescheduler,11615,0.02,0.0,23128,10734
18.067014721000078,nodecontroller,11294,0.02,0.0,44644,31460
18.067014721000078,nodelet,10742,0.05,0.0,24532,11112
18.067014721000078,nodeproxy,11844,0.01,0.0,15904,5008
19.070714013000043,nodestore,10054,0.2,0.0,21264,11315
19.070714013000043,nodeapiserver,10369,0.32,0.0,233540,221693
19.070714013000043,nodescheduler,11615,0.02,0.0,23128,10734
19.070714013000043,nodecontroller,11294,0.02,0.0,44644,31460
19.070714013000043,nodelet,10742,0.06,0.9963143423239907,24532,11112
19.070714013000043,nodeproxy,11844,0.01,0.0,15904,5008
20.074485382000034,nodestore,10054,0.21,0.9962428007846557,21264,11315
20.074485382000034,nodeapiserver,10369,0.33,0.9962428007846557,233540,221693
20.074485382000034,nodescheduler,11615,0.02,0.0,23128,10738
20.074485382000034,nodecontroller,11294,0.02,0.0,44644,31464
20.074485382000034,nodelet,10742,0.06,0.0,24532,11112
20.074485382000034,nodeproxy,11844,0.01,0.0,15904,5008
21.07812595300004,nodestore,10054,0.21,0.0,21264,11315
21.07812595300004,nodeapiserver,10369,0.33,0.0,233540,221693
21.07812595300004,nodescheduler,11615,0.02,0.0,23128,10738
21.07812595300004,nodecontroller,11294,0.02,0.0,44644,31464
21.07812595300004,nodelet,10742,0.06,0.0,24532,11112
21.07812595300004,nodeproxy,11844,0.01,0.0,15904,5008
22.081847701000015,nodestore,10054,0.22,0.9962920520478994,21264,11315
22.081847701000015,nodeapiserver,10369,0.34,0.9962920520478994,233540,221693
22.081847701000015,nodescheduler,11615,0.02,0.0,23128,10738
22.081847701000015,nodecontroller,11294,0.02,0.0,44644,31464
22.081847701000015,nodelet,10742,0.06,0.0,24532,11112
22.081847701000015,nodeproxy,11844,0.01,0.0,15904,5008
23.08561828400002,nodestore,10054,0.23,0.996243580890032,21264,11315
23.08561828400002,nodeapiserver,10369,0.35,0.996243580890032,233540,221693
23.08561828400002,nodescheduler,11615,0.02,0.0,23128,10738
23.08561828400002,nodecontroller,11294,0.02,0.0,44644,31464
23.08561828400002,nodelet,10742,0.06,0.0,24788,11208
23.08561828400002,nodeproxy,11844,0.01,0.0,15904,5008
24.089438379000057,nodestore,10054,0.24,0.9961944425907939,21264,11315
24.089438379000057,nodeapiserver,10369,0.36,0.9961944425907939,237380,225529
24.089438379000057,nodescheduler,11615,0.02,0.0,23128,10738
24.089438379000057,nodecontroller,11294,0.02,0.0,44644,31468
24.089438379000057,nodelet,10742,0.06,0.0,24788,11208
24.089438379000057,nodeproxy,11844,0.01,0.0,15904,5008
25.09300237499997,nodestore,10054,0.24,0.0,21264,11315
25.09300237499997,nodeapiserver,10369,0.36,0.0,237380,225529
25.09300237499997,nodescheduler,11615,0.02,0.0,23128,10738
25.09300237499997,nodecontroller,11294,0.02,0.0,44644,31468
25.09300237499997,nodelet,10742,0.06,0.0,24788,11208
25.09300237499997,nodeproxy,11844,0.01,0.0,15904,5008
26.096721597000055,nodestore,10054,0.24,0.0,21264,11315
26.096721597000055,nodeapiserver,10369,0.38,1.992589118712552,237380,225529
26.096721597000055,nodescheduler,11615,0.02,0.0,23128,10742
26.096721597000055,nodecontroller,11294,0.02,0.0,44644,31468
26.096721597000055,nodelet,10742,0.06,0.0,24788,11208
26.096721597000055,nodeproxy,11844,0.01,0.0,15904,5008
27.100379901999986,nodestore,10054,0.24,0.0,21264,11315
27.100379901999986,nodeapiserver,10369,0.38,0.0,237380,225529
27.100379901999986,nodescheduler,11615,0.02,0.0,23128,10742
27.100379901999986,nodecontroller,11294,0.03,0.9963550294141879,44644,31468
27.100379901999986,nodelet,10742,0.06,0.0,24788,11208
27.100379901999986,nodeproxy,11844,0.01,0.0,15904,5008
28.10405188300001,nodestore,10054,0.25,0.9963414531146259,21264,11315
28.10405188300001,nodeapiserver,10369,0.4,1.9926829062292517,237380,225529
28.10405188300001,nodescheduler,11615,0.02,0.0,23128,10742
28.10405188300001,nodecontroller,11294,0.03,0.0,44644,31468
28.10405188300001,nodelet,10742,0.06,0.0,24788,11208
28.10405188300001,nodeproxy,11844,0.01,0.0,15904,5008
29.10768352399998,nodestore,10054,0.25,0.0,21264,11315
29.10768352399998,nodeapiserver,10369,0.4,0.0,237380,225529
29.10768352399998,nodescheduler,11615,0.02,0.0,23128,10742
29.10768352399998,nodecontroller,11294,0.03,0.0,44644,31468
29.10768352399998,nodelet,10742,0.06,0.0,24788,11208
29.10768352399998,nodeproxy,11844,0.01,0.0,15904,5008
30.11129865099997,nodestore,10054,0.26,0.9963978950668116,21264,11319
30.11129865099997,nodeapiserver,10369,0.41,0.9963978950668116,237380,225529
30.11129865099997,nodescheduler,11615,0.02,0.0,23128,10742
30.11129865099997,nodecontroller,11294,0.03,0.0,44644,31468
30.11129865099997,nodelet,10742,0.06,0.0,24788,11208
30.11129865099997,nodeproxy,11844,0.01,0.0,15904,5008
31.114923694000026,nodestore,10054,0.26,0.0,21264,11319
31.114923694000026,nodeapiserver,10369,0.41,0.0,237380,225529
31.114923694000026,nodescheduler,11615,0.02,0.0,23128,10742
31.114923694000026,nodecontroller,11294,0.03,0.0,44644,31468
31.114923694000026,nodelet,10742,0.06,0.0,24788,11208
31.114923694000026,nodeproxy,11844,0.01,0.0,15904,5008
32.118564289000005,nodestore,10054,0.27,0.996372610854806,21264,11319
32.118564289000005,nodeapiserver,10369,0.42,0.996372610854806,237380,225529
32.118564289000005,nodescheduler,11615,0.02,0.0,23128,10742
32.118564289000005,nodecontroller,11294,0.03,0.0,44644,31468
32.118564289000005,nodelet,10742,0.06,0.0,24788,11208
32.118564289000005,nodeproxy,11844,0.01,0.0,15904,5008
33.122379687000034,nodestore,10054,0.28,0.9961991039312302,21264,11319
33.122379687000034,nodeapiserver,10369,0.43,0.9961991039312302,237380,225529
33.122379687000034,nodescheduler,11615,0.02,0.0,23128,10742
33.122379687000034,nodecontroller,11294,0.03,0.0,44644,31468
33.122379687000034,nodelet,10742,0.06,0.0,24788,11268
33.122379687000034,nodeproxy,11844,0.01,0.0,15904,5008
34.12600218400007,nodestore,10054,0.29,0.996390578119895,21264,11319
34.12600218400007,nodeapiserver,10369,0.44,0.996390578119895,237380,225529
34.12600218400007,nodescheduler,11615,0.02,0.0,23128,10742
34.12600218400007,nodecontroller,11294,0.03,0.0,44644,31468
34.12600218400007,nodelet,10742,0.06,0.0,24788,11268
34.12600218400007,nodeproxy,11844,0.01,0.0,15904,5008
35.12988802899997,nodestore,10054,0.29,0.0,21264,11319
35.12988802899997,nodeapiserver,10369,0.44,0.0,237380,225529
35.12988802899997,nodescheduler,11615,0.02,0.0,23128,10742
35.12988802899997,nodecontroller,11294,0.03,0.0,44644,31468
35.12988802899997,nodelet,10742,0.06,0.0,24788,11268
35.12988802899997,nodeproxy,11844,0.01,0.0,15904,5008
36.13346202499997,nodestore,10054,0.29,0.0,21264,11319
36.13346202499997,nodeapiserver,10369,0.45,0.9964387319577379,237380,225529
36.13346202499997,nodescheduler,11615,0.02,0.0,23128,10742
36.13346202499997,nodecontroller,11294,0.03,0.0,44644,31468
36.13346202499997,nodelet,10742,0.06,0.0,24788,11268
36.13346202499997,nodeproxy,11844,0.01,0.0,15904,5008
37.13805269300008,nodestore,10054,0.3,0.99543030992987,21264,11319
37.13805269300008,nodeapiserver,10369,0.46,0.99543030992987,237380,225529
37.13805269300008,nodescheduler,11615,0.02,0.0,23128,10742
37.13805269300008,nodecontroller,11294,0.03,0.0,44644,31468
37.13805269300008,nodelet,10742,0.06,0.0,24788,11268
37.13805269300008,nodeproxy,11844,0.01,0.0,15904,5008
38.14158927599999,nodestore,10054,0.3,0.0,21264,11319
38.14158927599999,nodeapiserver,10369,0.46,0.0,237380,225529
38.14158927599999,nodescheduler,11615,0.02,0.0,23128,10742
38.14158927599999,nodecontroller,11294,0.03,0.0,44644,31468
38.14158927599999,nodelet,10742,0.06,0.0,24788,11268
38.14158927599999,nodeproxy,11844,0.01,0.0,15904,5008
39.14670872600004,nodestore,10054,0.31,0.9949066252771731,21264,11319
39.14670872600004,nodeapiserver,10369,0.47,0.9949066252771731,237380,225529
39.14670872600004,nodescheduler,11615,0.02,0.0,23128,10742
39.14670872600004,nodecontroller,11294,0.03,0.0,44644,31468
39.14670872600004,nodelet,10742,0.06,0.0,24788,11268
39.14670872600004,nodeproxy,11844,0.01,0.0,15904,5008
40.150243869000064,nodestore,10054,0.32,0.9964773102121229,21264,11319
40.150243869000064,nodeapiserver,10369,0.47,0.0,237380,225529
40.150243869000064,nodescheduler,11615,0.02,0.0,23128,10742
40.150243869000064,nodecontroller,11294,0.03,0.0,44644,31472
40.150243869000064,nodelet,10742,0.06,0.0,24788,11268
40.150243869000064,nodeproxy,11844,0.01,0.0,15904,5008
41.154649081,nodestore,10054,0.32,0.0,21264,11319
41.154649081,nodeapiserver,10369,0.48,0.9956141087806919,237380,225529
41.154649081,nodescheduler,11615,0.02,0.0,23128,10742
41.154649081,nodecontroller,11294,0.03,0.0,44644,31472
41.154649081,nodelet,10742,0.06,0.0,24788,11268
41.154649081,nodeproxy,11844,0.01,0.0,15904,5008
42.15816307800003,nodestore,10054,0.33,0.9964983079353827,21264,11319
42.15816307800003,nodeapiserver,10369,0.5,1.9929966158707655,237380,225529
42.15816307800003,nodescheduler,11615,0.02,0.0,23128,10742
42.15816307800003,nodecontroller,11294,0.04,0.9964983079353827,44644,31472
42.15816307800003,nodelet,10742,0.06,0.0,24788,11268
42.15816307800003,nodeproxy,11844,0.01,0.0,15904,5008
43.16167905200007,nodestore,10054,0.34,0.9964963447606884,21264,11319
43.16167905200007,nodeapiserver,10369,0.51,0.9964963447606884,237380,225529
43.16167905200007,nodescheduler,11615,0.02,0.0,23128,10742
43.16167905200007,nodecontroller,11294,0.04,0.0,44644,31476
43.16167905200007,nodelet,10742,0.06,0.0,24788,11360
43.16167905200007,nodeproxy,11844,0.01,0.0,15904,5008
44.16521055700002,nodestore,10054,0.34,0.0,21264,11319
44.16521055700002,nodeapiserver,10369,0.52,0.9964809226393391,237380,225529
44.16521055700002,nodescheduler,11615,0.02,0.0,23128,10742
44.16521055700002,nodecontroller,11294,0.05,0.9964809226393391,44644,31476
44.16521055700002,nodelet,10742,0.06,0.0,24788,11360
44.16521055700002,nodeproxy,11844,0.01,0.0,15904,5008
45.168712235000044,nodestore,10054,0.34,0.0,21264,11319
45.168712235000044,nodeapiserver,10369,0.52,0.0,237380,225529
45.168712235000044,nodescheduler,11615,0.02,0.0,23128,10742
45.168712235000044,nodecontroller,11294,0.05,0.0,44644,31476
45.168712235000044,nodelet,10742,0.06,0.0,24788,11360
45.168712235000044,nodeproxy,11844,0.01,0.0,15904,5008
46.17210105700008,nodestore,10054,0.35,0.9966226233283338,21264,11319
