elapsed_seconds,component,pid,cpu_seconds,cpu_pct_one_core,rss_kib,pss_kib
1.0005424870000184,nodestore,4284,0.1,9.994578071325638,61796,62136
1.0005424870000184,nodeapiserver,4305,0.33,32.982107635374604,338196,338428
1.0005424870000184,nodescheduler,4298,0.01,0.9994578071325637,67180,67396
1.0005424870000184,nodecontroller,4291,0.03,2.9983734213976914,126396,126760
1.0005424870000184,nodelet,4427,0.09,8.995120264193073,102132,99963
1.0005424870000184,nodeproxy,4636,0.0,0.0,50436,50728
1.0005424870000184,containerd,3698,0.08,7.99566245706051,92556,91113
1.0005424870000184,flanneld,5274,0.0,0.0,47524,47756
1.0005424870000184,coredns,4906,0.0,0.0,66096,42544
1.0005424870000184,coredns,4925,0.0,0.0,65748,42268
2.0323830940000107,nodestore,4284,0.19,8.722277393372702,61948,62308
2.0323830940000107,nodeapiserver,4305,0.67,32.950825708296875,338196,338436
2.0323830940000107,nodescheduler,4298,0.01,0.0,67180,67400
2.0323830940000107,nodecontroller,4291,0.05,1.9382838651939338,126396,126760
2.0323830940000107,nodelet,4427,0.11,1.9382838651939338,102132,99963
2.0323830940000107,nodeproxy,4636,0.0,0.0,50436,50728
2.0323830940000107,containerd,3698,0.1,1.9382838651939338,92556,91117
2.0323830940000107,flanneld,5274,0.01,0.9691419325969669,47780,47996
2.0323830940000107,coredns,4906,0.01,0.9691419325969669,66096,42548
2.0323830940000107,coredns,4925,0.0,0.0,65748,42268
3.051935267000033,nodestore,4284,0.26,6.86575948281545,61948,62340
3.051935267000033,nodeapiserver,4305,0.95,27.4630379312618,338196,338504
3.051935267000033,nodescheduler,4298,0.02,0.9808227832593498,67180,67400
3.051935267000033,nodecontroller,4291,0.07,1.9616455665186996,126396,126760
3.051935267000033,nodelet,4427,0.17,5.884936699556099,102132,99967
3.051935267000033,nodeproxy,4636,0.0,0.0,50436,50728
3.051935267000033,containerd,3698,0.13,2.9424683497780495,92556,91117
3.051935267000033,flanneld,5274,0.01,0.0,47780,47996
3.051935267000033,coredns,4906,0.01,0.0,66096,42548
3.051935267000033,coredns,4925,0.01,0.9808227832593498,65748,42268
