elapsed_seconds,component,pid,cpu_seconds,cpu_pct_one_core,rss_kib,pss_kib
1.0003931900000111,nodestore,4298,0.09,8.996462680838421,63732,64084
1.0003931900000111,nodeapiserver,4294,0.31,30.987815900665673,343396,343516
1.0003931900000111,nodescheduler,4266,0.01,0.9996069645376023,65376,65784
1.0003931900000111,nodecontroller,4272,0.02,1.9992139290752047,128400,128716
1.0003931900000111,nodelet,4429,0.06,5.997641787225614,101428,99392
1.0003931900000111,nodeproxy,4625,0.0,0.0,50648,51028
1.0003931900000111,containerd,3704,0.06,5.997641787225614,94472,93205
1.0003931900000111,flanneld,5249,0.0,0.0,48116,48484
1.0003931900000111,coredns,4946,0.02,1.9992139290752047,65836,42454
1.0003931900000111,coredns,4956,0.01,0.9996069645376023,65332,42022
2.014326234000009,nodestore,4298,0.17,7.890067344525774,63732,64112
2.014326234000009,nodeapiserver,4294,0.56,24.656460451643046,343396,343528
2.014326234000009,nodescheduler,4266,0.01,0.0,65376,65784
2.014326234000009,nodecontroller,4272,0.04,1.9725168361314436,128400,128716
2.014326234000009,nodelet,4429,0.08,1.9725168361314436,101428,99396
2.014326234000009,nodeproxy,4625,0.0,0.0,50648,51028
2.014326234000009,containerd,3704,0.07,0.9862584180657218,94472,93205
2.014326234000009,flanneld,5249,0.0,0.0,48116,48484
2.014326234000009,coredns,4946,0.02,0.0,65836,42458
2.014326234000009,coredns,4956,0.01,0.0,65332,42026
3.0262914369999976,nodestore,4298,0.27,9.881762703257806,63732,64144
3.0262914369999976,nodeapiserver,4294,0.82,25.692583028470295,343396,343544
3.0262914369999976,nodescheduler,4266,0.02,0.9881762703257806,65376,65784
3.0262914369999976,nodecontroller,4272,0.07,2.9645288109773418,128400,128716
3.0262914369999976,nodelet,4429,0.12,3.9527050813031224,101428,99396
3.0262914369999976,nodeproxy,4625,0.0,0.0,50648,51028
3.0262914369999976,containerd,3704,0.12,4.940881351628903,94472,93281
3.0262914369999976,flanneld,5249,0.01,0.9881762703257806,48500,48808
3.0262914369999976,coredns,4946,0.03,0.9881762703257806,65836,42458
3.0262914369999976,coredns,4956,0.02,0.9881762703257806,65332,42034
4.04022642000001,nodestore,4298,0.37,9.862565319930257,63732,64180
4.04022642000001,nodeapiserver,4294,1.23,40.43651781171405,345316,345460
4.04022642000001,nodescheduler,4266,0.02,0.0,65376,65784
4.04022642000001,nodecontroller,4272,0.11,3.945026127972102,128400,128720
4.04022642000001,nodelet,4429,0.18,5.917539191958153,101428,99408
4.04022642000001,nodeproxy,4625,0.0,0.0,50648,51028
4.04022642000001,containerd,3704,0.13,0.9862565319930255,94472,93285
4.04022642000001,flanneld,5249,0.01,0.0,48500,48808
4.04022642000001,coredns,4946,0.03,0.0,65836,42458
4.04022642000001,coredns,4956,0.02,0.0,65332,42042
5.052464110000017,nodestore,4298,0.48,10.867012865328036,63864,64308
5.052464110000017,nodeapiserver,4294,1.56,32.60103859598411,345316,345524
5.052464110000017,nodescheduler,4266,0.05,2.9637307814531004,65504,65852
5.052464110000017,nodecontroller,4272,0.15,3.9516410419374672,128400,128720
5.052464110000017,nodelet,4429,0.24,5.927461562906201,101428,99410
5.052464110000017,nodeproxy,4625,0.0,0.0,50648,51028
